src_ip_addr,src_port,dst_ip_addr,dst_port,protocol,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
10.42.0.2,22,10.42.0.1,51706,6,0,0.000659942626953125,52.0,78354535.0,64.0,576.0,0.0,125.0,16.0,501.0,0.0,0.0
10.42.0.2,22,10.42.0.1,51706,6,0,0.0,176.0,74463795.0,64.0,576.0,124.0,1.0,24.0,354.0,0.0,0.0
10.42.0.1,48874,239.255.255.250,1900,17,0,1.0008180141448975,200.0,46014861.0,64.0,2240.0,0.0,0.0,0.0,0.0,180.0,0.0
10.42.0.1,48874,239.255.255.250,1900,17,0,0.0,200.0,46014861.0,64.0,2240.0,0.0,0.0,0.0,0.0,180.0,0.0
10.42.0.1,5353,224.0.0.251,5353,17,0,0.0002529621124267578,68.0,83392760.0,64.0,2112.0,0.0,0.0,0.0,0.0,48.0,0.0
10.42.0.1,5353,224.0.0.251,5353,17,0,0.0,68.0,83392760.0,64.0,2112.0,0.0,0.0,0.0,0.0,48.0,0.0
10.42.0.1,49940,10.42.0.2,80,6,0,0.0001609325408935547,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49940,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49942,10.42.0.2,80,6,0,0.00011396408081054688,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49942,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49944,10.42.0.2,80,6,0,8.821487426757812e-05,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49944,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49946,10.42.0.2,80,6,0,0.00010800361633300781,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49946,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49948,10.42.0.2,80,6,0,8.797645568847656e-05,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49948,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49950,10.42.0.2,80,6,0,0.00010180473327636719,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49950,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49952,10.42.0.2,80,6,0,8.797645568847656e-05,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49952,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49954,10.42.0.2,80,6,0,9.107589721679688e-05,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49954,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
10.42.0.1,49956,10.42.0.2,80,6,0,9.703636169433594e-05,60.0,78354535.0,64.0,576.0,0.0,1.0,18.0,28960.0,0.0,0.0
10.42.0.1,49956,10.42.0.2,80,6,0,0.0,60.0,78354535.0,64.0,576.0,0.0,0.0,2.0,64240.0,0.0,0.0
